"GIDTR","State","State_name","County","County_name","Tract","Low_Response_Score","Mail_Return_Rate_CEN_2010","Tot_Population_ACS_12_16","Med_HHD_Inc_ACS_12_16","pct_Pop_under_5_ACS_12_16","pct_Pop_18_24_ACS_12_16","pct_Pop_65plus_ACS_12_16","pct_Prs_Blw_Pov_Lev_ACS_12_16","pct_Female_No_HB_ACS_12_16","pct_Not_HS_Grad_ACS_12_16","pct_NH_Blk_alone_ACS_12_16","pct_NH_White_alone_ACS_12_16","pct_Hispanic_ACS_12_16","pct_NH_AIAN_alone_ACS_12_16","pct_NH_Asian_alone_ACS_12_16","pct_NH_NHOPI_alone_ACS_12_16","pct_NH_SOR_alone_ACS_12_16","pct_Born_foreign_ACS_12_16","pct_ENG_VW_ACS_12_16","pct_Age5p_Spanish_ACS_12_16","pct_Age5p_Russian_ACS_12_16","pct_Age5p_Chinese_ACS_12_16","pct_Age5p_Korean_ACS_12_16","pct_Age5p_Vietnames_ACS_12_16","pct_Age5p_Tagalog_ACS_12_16","pct_Age5p_Arabic_ACS_12_16","Tot_Housing_Units_ACS_12_16","Tot_Occp_Units_ACS_12_16","pct_Renter_Occp_HU_ACS_12_16","pct_Rel_Under_6_ACS_12_16","pct_Diff_HU_1yr_Ago_ACS_12_16","pct_Vacant_Units_ACS_12_16","pct_MLT_U10p_ACS_12_16","pct_Single_Unit_ACS_12_16","pct_Crowd_Occp_U_ACS_12_16","pct_minority","pct_multiunit","pcat_all","pcat_10x1"
"09003496300","09","Connecticut","003","Hartford County","496300",17.4,83.8,3548,"$80,304",5.41,7.22,13.11,6.35,7.04,5.07,2.59,75.48,14.4,0,5.24,0,0.82,13.84,5.67,3.61,0.21,0.39,0,1.37,0,0,1527,1463,16.06,18.26,3.91,4.19,6.02,82.78,0,24.52,17.22,5,5
"09003496400","09","Connecticut","003","Hartford County","496400",13.2,89.8,2885,"$91,927",4.58,6.66,19.24,1.7,15.32,3.4,1.07,92.41,0.28,0,4.19,0,0.35,9.12,0.84,0.29,0,1.05,0,0,0,0,1135,1077,4.92,15.86,1.87,5.11,3.44,95.24,1.02,7.59,4.76000000000001,5,5
"09003496500","09","Connecticut","003","Hartford County","496500",12.1,87.8,2641,"$118,221",5.19,5.41,11.13,2.55,10.97,1.28,0.83,84.7,6.47,0,4.35,0,0,7.54,0.74,0.24,0,0.32,0,0,0,0,1085,1085,25.53,18.23,18.16,0,14.29,75.21,0,15.3,24.79,5,5
"09003496600","09","Connecticut","003","Hartford County","496600",10.7,90.8,2630,"$123,828",4.87,3.8,24.18,3.88,4.68,2.46,4.75,79.43,1.1,0,11.33,0,0,20.61,2.21,0.72,1.08,0,0,1.4,0,0,1161,1132,6.54,14.64,7.71,2.5,13.52,86.48,0,20.57,13.52,5,5
"09003496700","09","Connecticut","003","Hartford County","496700",24.9,79.1,3971,"$63,313",4.33,12.29,9.32,5.3,15.48,5.57,17.1,51.17,18.81,0,9.9,0,0,26.14,4.26,3.58,2.34,1.97,0,0,0,0,1753,1596,51.63,19.5,13.6,8.96,29.55,39.36,7.27,48.83,60.64,5,4
"09003496800","09","Connecticut","003","Hartford County","496800",20.8,74.8,3346,"$75,117",3.71,9.74,12.85,12.99,22.49,11.86,12.1,52.21,22.18,0,6.52,0,3.44,20.65,6.52,5.87,0.34,0,0,0.5,0,0,1388,1365,27.91,12.18,8.74,1.66,5.48,77.95,0.37,47.79,22.05,4,4
"09003496900","09","Connecticut","003","Hartford County","496900",23.3,75.4,6491,"$74,310",3.94,6.79,14.16,16.9,9.12,7.42,11.66,67.96,14.44,0,5.33,0,0,20.44,9.44,7.57,2.68,0,0,0.29,0,0,3069,2840,56.69,16.69,16.86,7.46,25.12,40.89,0.67,32.04,59.11,5,4
"09003497000","09","Connecticut","003","Hartford County","497000",8.1,89.9,4462,"$149,083",6.14,5.67,17.03,2.55,6.42,2.1,0.2,93.34,2.53,0,3.12,0,0,8.02,1.56,0,0.45,0.48,0,0.96,0,0,1560,1542,3.5,16.45,9.8,1.15,4.81,94.04,0,6.66,5.95999999999999,5,5
"09003497100","09","Connecticut","003","Hartford County","497100",19,73.7,4112,"$71,460",6.18,4.3,25.29,9.41,5.82,6.23,2.89,80.13,5.13,0,7.49,0,0.22,16.49,7.32,2.28,3.42,1.11,0,0,0,0,2056,1872,59.62,27.14,22.28,8.95,42.27,23.88,0.91,19.87,76.12,5,4
"09003497200","09","Connecticut","003","Hartford County","497200",14.4,87,2299,"$111,618",5.31,18.05,29.14,1.48,5.95,3.74,8.57,77.77,10.27,0,3.35,0,0,9.31,1.27,0.23,1.47,0,0,0.28,0,0,745,706,30.74,17.21,16.6,5.23,26.58,70.87,0,22.23,29.13,5,5
